gameid,year,date,league,split,playoffs,game,position,playername,teamname,teamid,result
LOLTMNT02_21273,2024,2024-01-17,LCK,Spring,0,2,jng,Canyon,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_21273,2024,2024-01-17,LCK,Spring,0,2,mid,Chovy,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_21273,2024,2024-01-17,LCK,Spring,0,2,bot,Peyz,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_21273,2024,2024-01-17,LCK,Spring,0,2,sup,Lehends,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,top,Zeus,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,0
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,jng,Oner,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,0
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,mid,Faker,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,0
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,bot,Gumayusi,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,0
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,sup,Keria,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,0
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,top,Kiin,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,jng,Canyon,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,mid,Chovy,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,bot,Peyz,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,sup,Lehends,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,top,Morgan,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,jng,GIDEON,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,mid,Karis,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,bot,Envyy,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,sup,Effort,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,top,Kingen,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,jng,Lucid,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,mid,ShowMaker,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,bot,Aiming,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,sup,Kellin,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,top,Morgan,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,jng,GIDEON,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,mid,Karis,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,bot,Envyy,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,sup,Effort,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,top,Kingen,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,jng,Lucid,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,mid,ShowMaker,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,bot,Aiming,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,sup,Kellin,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,top,PerfecT,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,jng,Pyosik,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,mid,Bdd,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,bot,Deft,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,sup,BeryL,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,top,Clear,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,jng,Willer,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,mid,Clozer,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,bot,Hena,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,sup,Execute,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,top,Clear,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,jng,Willer,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,mid,Clozer,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,bot,Hena,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,sup,Execute,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,top,PerfecT,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1
